№,id,название,группа,правило (кратко),код в репозитории,результат в исследовании,вердикт,источник (URL),источник (название),проверка ссылки
1,T_DONCH,Пробой канала Дончиана,тренд,"close > max(high, n) — лонг, < min(low, n) — шорт; выход по каналу n/2",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 24300 конф., с плюсом 7%, медианный Sharpe -4.6, сделка -12.1 б.п.",отвергнута,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/price-channels,StockCharts ChartSchool: Price (Donchian) Channels,"проверена (Firecrawl, 25.09.2026)"
2,T_DONCH_STOP,Пробой Дончиана стоп-заявкой,тренд,стоп-заявка на уровне экстремума n свечей,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 24300 конф., с плюсом 7%, медианный Sharpe -5.5, сделка -11.1 б.п.",отвергнута,https://chartschool.stockcharts.com/table-of-contents/overview/donchian-trading-guidelines,StockCharts: Donchian Trading Guidelines,"проверена (Firecrawl, 25.09.2026)"
3,T_EMA_X,Пересечение EMA,тренд,"EMA(f) > EMA(s) — лонг, иначе шорт",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 82620 конф., с плюсом 10%, медианный Sharpe -3.0, сделка -11.7 б.п.",отвергнута внутри дня; в дневном ансамбле C1 — положительна,https://en.wikipedia.org/wiki/Moving_average,Wikipedia: Moving average,не проверена вживую (устойчивый адрес/DOI)
4,T_PRICE_MA,Цена относительно MA,тренд,close выше EMA(n) + полоса — лонг,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 48600 конф., с плюсом 4%, медианный Sharpe -6.9, сделка -11.6 б.п.",отвергнута,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=962461,"Faber (2007), A Quantitative Approach to Tactical Asset Allocation",не проверена вживую (устойчивый адрес/DOI)
5,T_HMA,Наклон Hull MA,тренд,наклон HMA(n) > 0 — лонг,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 24300 конф., с плюсом 9%, медианный Sharpe -4.6, сделка -11.4 б.п.",отвергнута,https://alanhull.com/the-hull-moving-average/,Alan Hull: The Hull Moving Average,"проверена (Firecrawl, 25.09.2026)"
6,T_SUPERTREND,SuperTrend,тренд,"направление SuperTrend(ATR n, множитель m)",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 43740 конф., с плюсом 10%, медианный Sharpe -3.9, сделка -12.0 б.п.",отвергнута,https://www.tradingview.com/support/solutions/43000634738-supertrend/,TradingView: Supertrend (O. Seban),"проверена (Firecrawl, 25.09.2026)"
7,T_ADX,ADX / направленное движение,тренд,ADX > порог и +DI > −DI — лонг,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 29160 конф., с плюсом 6%, медианный Sharpe -4.3, сделка -12.3 б.п.",отвергнута внутри дня; дневной ансамбль — 6/6 мес. в плюсе в WF,https://en.wikipedia.org/wiki/Average_directional_movement_index,Wikipedia: Average directional movement index (Wilder),не проверена вживую (устойчивый адрес/DOI)
8,T_MTF,Тренд нескольких масштабов,тренд,"знаки ROC(n), ROC(nk), ROC(nk²) совпадают",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 38880 конф., с плюсом 7%, медианный Sharpe -5.3, сделка -11.3 б.п.",отвергнута,https://www.aqr.com/Insights/Research/Journal-Article/A-Century-of-Evidence-on-Trend-Following-Investing,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing","проверена (Firecrawl, 25.09.2026)"
9,T_KELTNER,Пробой канала Кельтнера,тренд,close > EMA(n) + k·ATR — лонг,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 43740 конф., с плюсом 7%, медианный Sharpe -5.0, сделка -11.6 б.п.",отвергнута,https://en.wikipedia.org/wiki/Keltner_channel,Wikipedia: Keltner channel,не проверена вживую (устойчивый адрес/DOI)
10,M_TSMOM,Временной моментум (TSMOM),моментум,"ROC(n) > z·σ — лонг, < −z·σ — шорт",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 87480 конф., с плюсом 9%, медианный Sharpe -3.5, сделка -11.7 б.п.",отвергнута внутри дня; дневная версия — часть C1,https://ideas.repec.org/a/eee/jfinec/v104y2012i2p228-250.html,"Moskowitz, Ooi, Pedersen (2012), Time series momentum, JFE 104(2)","проверена (Firecrawl, 25.09.2026)"
