experiment_id,timestamp,hypothesis,strategy,parameters,data,period,result,conclusion,next_step,git_commit,config_hash,seed,execution_model,cost_model
E0001,2026-09-25T13:00:35+00:00,Pipeline validation on synthetic NULL universe,ALL (daily grid),"{""grid"": ""daily-v1"", ""n_configs"": 77}",SYNTHETIC_NULL 8x1500 daily bars seed0=100,synthetic,"{""kind"": ""NULL"", ""n_configs"": 77, ""errors"": 0, ""best_in_sample"": ""VOL_RANGE_EXPANSION|{\""k\"": 0.5, \""nr\"": 0}|2f03dbdb7a65"", ""best_in_sample_sharpe_ann"": 3.7744985358533536, ""dsr"": {""sr"": 0.23777105837132329, ""sr_benchmark"": 0.5005575092690363, ""dsr"": 3.9907899729234e-25}, ""fdr_discoveries"": 0, ""spa_pvalue"": 0.5004995004995005, ""reality_check_pvalue"": 0.028971028971028972, ""pbo"": 0.0, ""wf_oos_sharpe_by_family"": {""VOL_RANGE_EXPANSION"": 0.996, ""MOM_TSMOM"": 0.312, ""TF_EMA_CROSS"": 0.049, ""MR_ZSCORE"": 0.045, ""VOL_SQUEEZE"": 0.022, ""TF_DONCHIAN"": -0.017, ""TF_SUPERTREND"": -0.388, ""CONTROL_RANDOM"": -0.652, ""MR_RSI"": -0.703, ""BASELINE_01_RBREAKER_DAILY"": -10.256}}",see research/reports/pipeline_validation.md,run on real data,762d7fa,,100,ConservativeL1,NORMAL comm=0.025%
E0002,2026-09-25T13:01:05+00:00,Pipeline validation on synthetic PLANTED universe,ALL (daily grid),"{""grid"": ""daily-v1"", ""n_configs"": 77}",SYNTHETIC_PLANTED 8x1500 daily bars seed0=200,synthetic,"{""kind"": ""PLANTED"", ""n_configs"": 77, ""errors"": 0, ""best_in_sample"": ""TF_DONCHIAN|{\""n\"": 20}|8cdfd86f9886"", ""best_in_sample_sharpe_ann"": 21.15234762515023, ""dsr"": {""sr"": 1.332472654042074, ""sr_benchmark"": 1.696629682696376, ""dsr"": 2.0149140343165615e-37}, ""fdr_discoveries"": 49, ""spa_pvalue"": 0.5304695304695305, ""reality_check_pvalue"": 0.008991008991008992, ""pbo"": 0.0, ""wf_oos_sharpe_by_family"": {""TF_DONCHIAN"": 22.54, ""VOL_SQUEEZE"": 15.853, ""MOM_TSMOM"": 4.95, ""TF_SUPERTREND"": 3.933, ""VOL_RANGE_EXPANSION"": 3.461, ""CONTROL_RANDOM"": 2.372, ""TF_EMA_CROSS"": 2.053, ""MR_ZSCORE"": -3.237, ""BASELINE_01_RBREAKER_DAILY"": -6.049, ""MR_RSI"": -7.008}}",see research/reports/pipeline_validation.md,run on real data,762d7fa,,200,ConservativeL1,NORMAL comm=0.025%
E0003,2026-09-25T13:03:04+00:00,Pipeline validation on synthetic NULL universe,ALL (daily grid),"{""grid"": ""daily-v1"", ""n_configs"": 77}",SYNTHETIC_NULL 8x1500 daily bars seed0=100,synthetic,"{""kind"": ""NULL"", ""n_configs"": 77, ""errors"": 0, ""best_in_sample"": ""TF_DONCHIAN|{\""n\"": 60}|f76fa5f24612"", ""best_in_sample_sharpe_ann"": 0.7091226351874658, ""dsr"": {""sr"": 0.044670527197611075, ""sr_benchmark"": 0.4946397878690897, ""dsr"": 3.833739483800299e-68}, ""fdr_discoveries"": 0, ""spa_pvalue"": 0.6133866133866134, ""reality_check_pvalue"": 0.8001998001998002, ""pbo"": 0.49783549783549785, ""wf_oos_sharpe_by_family"": {""MOM_TSMOM"": 0.312, ""TF_EMA_CROSS"": 0.049, ""MR_ZSCORE"": 0.045, ""VOL_SQUEEZE"": 0.022, ""TF_DONCHIAN"": -0.017, ""VOL_RANGE_EXPANSION"": -0.346, ""TF_SUPERTREND"": -0.388, ""CONTROL_RANDOM"": -0.652, ""MR_RSI"": -0.703, ""BASELINE_01_RBREAKER_DAILY"": -10.408}}",see research/reports/pipeline_validation.md,run on real data,762d7fa,,100,ConservativeL1,NORMAL comm=0.025%
E0004,2026-09-25T13:03:35+00:00,Pipeline validation on synthetic PLANTED universe,ALL (daily grid),"{""grid"": ""daily-v1"", ""n_configs"": 77}",SYNTHETIC_PLANTED 8x1500 daily bars seed0=200,synthetic,"{""kind"": ""PLANTED"", ""n_configs"": 77, ""errors"": 0, ""best_in_sample"": ""TF_DONCHIAN|{\""n\"": 100}|f76fa5f24612"", ""best_in_sample_sharpe_ann"": 1.7426829773110992, ""dsr"": {""sr"": 0.10977870889340818, ""sr_benchmark"": 0.5215500956186625, ""dsr"": 2.5080823289342492e-57}, ""fdr_discoveries"": 27, ""spa_pvalue"": 0.000999000999000999, ""reality_check_pvalue"": 0.4355644355644356, ""pbo"": 0.048701298701298704, ""wf_oos_sharpe_by_family"": {""TF_DONCHIAN"": 1.948, ""MOM_TSMOM"": 1.775, ""TF_EMA_CROSS"": 1.685, ""TF_SUPERTREND"": 1.136, ""VOL_SQUEEZE"": 0.647, ""MR_RSI"": 0.369, ""VOL_RANGE_EXPANSION"": 0.188, ""CONTROL_RANDOM"": -0.127, ""MR_ZSCORE"": -1.982, ""BASELINE_01_RBREAKER_DAILY"": -10.532}}",see research/reports/pipeline_validation.md,run on real data,762d7fa,,200,ConservativeL1,NORMAL comm=0.025%
E0005,2026-09-25T13:47:58+00:00,PLAN AMENDMENT 1: data source & environment (selection rules unchanged),-,"{""data"":""DIRECT_ISS"",""tinvest_tls"":""separate CA bundle (Russian Trusted Root/Sub CA, pinned sha256)""}","MOEX ISS direct: 187 quarterly + 84 BR monthly futures series, 12 TQBR equities; sha256 in data/manifests",2019-06-01..2026-09-25,"fetch ok: plan A 53714 bars, B 18012, C 23511; T-Invest InstrumentsService/Futures 3013 instruments with TLS verification",LLM_TRANSCRIBED dataset superseded; RESEARCH_PLAN §5 rules unchanged; intraday stage (§7) unblocked,"run daily research (futures, equities), then minute archives",e1aaa01,,,-,-
E0006,2026-09-25T15:15:35+00:00,DAY_FUT: хотя бы одно семейство имеет положительное ожидание после издержек (год T-Invest),DAY_FUT grid,"{""grid"": ""intraday-v1"", ""n_configs"": 23}","T-Invest 1m ['BR', 'CR', 'GD', 'GZ', 'MX', 'RI', 'RN', 'SR', 'Si']",2025-09-25..2026-05-31,"{""best"": ""TF_EMA_CROSS|{\""fast\"": 5, \""slow\"": 20}|53283cf9bfaf"", ""best_sr_ann"": 1.2679411091330282, ""fdr"": 0, ""spa"": 0.6086956521739131, ""rc"": 0.8465767116441779, ""pbo"": 0.38571428571428573, ""dsr"": 0.03229897416950849, ""n_eff"": 3.925211185326552, ""errors"": 0}",см. reports/FINAL_RESEARCH_REPORT.md,walk-forward + отбор,77682c3,,1..3,"ConservativeL1 (bars, worst-case intrabar)","{""commission_fraction"": 0.00025, ""bar_seconds"": 86400.0}"
E0007,2026-09-25T15:15:48+00:00,DAY_FUT: FINAL HOLDOUT,"MOM_TSMOM,TF_DONCHIAN,TF_EMA_CROSS","[""TF_EMA_CROSS|{\""fast\"": 5, \""slow\"": 20}|53283cf9bfaf"", ""TF_DONCHIAN|{\""n\"": 40}|a7fc15b4bae1"", ""MOM_TSMOM|{\""lookback\"": 40}|53283cf9bfaf""]",T-Invest 1m,2026-06-01..2026-09-25,"[{""family"": ""TF_EMA_CROSS"", ""scenario"": ""NORMAL"", ""holdout_sharpe"": 1.9245808354409446, ""holdout_expectancy_R"": 0.2649105423834326, ""holdout_trades"": 51}, {""family"": ""TF_EMA_CROSS"", ""scenario"": ""STRESS_1"", ""holdout_sharpe"": 1.9128165838880127, ""holdout_expectancy_R"": 0.2625208133357013, ""holdout_trades"": 51}, {""family"": ""TF_DONCHIAN"", ""scenario"": ""NORMAL"", ""holdout_sharpe"": 1.4920623429926283, ""holdout_expectancy_R"": 0.3424223322744222, ""holdout_trades"": 26}, {""family"": ""TF_DONCHIAN"", ""scenario"": ""STRESS_1"", ""holdout_sharpe"": 1.4738660230307785, ""holdout_expectancy_R"": 0.3354702764660783, ""holdout_trades"": 26}, {""family"": ""MOM_TSMOM"", ""scenario"": ""NORMAL"", ""holdout_sharpe"": 1.2645457756334064, ""holdout_expectancy_R"": 0.17731971100510446, ""holdout_trades"": 51}, {""family"": ""MOM_TSMOM"", ""scenario"": ""STRESS_1"", ""holdout_sharpe"": 1.2543326677857147, ""holdout_expectancy_R"": 0.17532537108431678, ""holdout_trades"": 51}]",см. reports/FINAL_RESEARCH_REPORT.md,—,77682c3,,—,ConservativeL1,NORMAL/STRESS_1
E0008,2026-09-25T15:16:26+00:00,DAY_EQ: хотя бы одно семейство имеет положительное ожидание после издержек (год T-Invest),DAY_EQ grid,"{""grid"": ""intraday-v1"", ""n_configs"": 23}","T-Invest 1m ['AFLT', 'ALRS', 'GAZP', 'GMKN', 'LKOH', 'MGNT', 'NVTK', 'PLZL', 'ROSN', 'SBER', 'TATN', 'VTBR']",2025-09-25..2026-05-31,"{""best"": ""TF_DONCHIAN|{\""n\"": 20, \""side\"": \""long\""}|a7fc15b4bae1"", ""best_sr_ann"": 0.8467066404282328, ""fdr"": 0, ""spa"": 0.7251374312843578, ""rc"": 0.936031984007996, ""pbo"": 0.6714285714285714, ""dsr"": 0.02960837911194026, ""n_eff"": 3.85990673421915, ""errors"": 0}",см. reports/FINAL_RESEARCH_REPORT.md,walk-forward + отбор,77682c3,,1..3,"ConservativeL1 (bars, worst-case intrabar)","{""commission_fraction"": 0.0004, ""bar_seconds"": 86400.0}"
E0009,2026-09-25T15:17:24+00:00,ID_FUT: хотя бы одно семейство имеет положительное ожидание после издержек (год T-Invest),ID_FUT grid,"{""grid"": ""intraday-v1"", ""n_configs"": 38}","T-Invest 1m ['BR', 'CR', 'GD', 'GZ', 'MX', 'RI', 'RN', 'SR', 'Si']",2025-09-25..2026-05-31,"{""best"": ""TF_EMA_CROSS|{\""fast\"": 6, \""slow\"": 72}|1b9fc7370929"", ""best_sr_ann"": -9.133731349641073, ""fdr"": 0, ""spa"": 1.0, ""rc"": 1.0, ""pbo"": 0.2, ""dsr"": 1.3618769469341962e-38, ""n_eff"": 7.023108990440894, ""errors"": 0}",см. reports/FINAL_RESEARCH_REPORT.md,walk-forward + отбор,7d34b78,,1..3,"ConservativeL1 (bars, worst-case intrabar)","{""commission_fraction"": 0.00025, ""bar_seconds"": 300.0}"
E0010,2026-09-25T15:20:12+00:00,ID_EQ: хотя бы одно семейство имеет положительное ожидание после издержек (год T-Invest),ID_EQ grid,"{""grid"": ""intraday-v1"", ""n_configs"": 38}","T-Invest 1m ['AFLT', 'ALRS', 'GAZP', 'GMKN', 'LKOH', 'MGNT', 'NVTK', 'PLZL', 'ROSN', 'SBER', 'TATN', 'VTBR']",2025-09-25..2026-05-31,"{""best"": ""TF_DONCHIAN|{\""n\"": 12}|745d6d113e75"", ""best_sr_ann"": -9.791752742742212, ""fdr"": 0, ""spa"": 1.0, ""rc"": 1.0, ""pbo"": 0.11428571428571428, ""dsr"": 2.8962424804858126e-232, ""n_eff"": 6.351373367298123, ""errors"": 0}",см. reports/FINAL_RESEARCH_REPORT.md,walk-forward + отбор,13043a2,,1..3,"ConservativeL1 (bars, worst-case intrabar)","{""commission_fraction"": 0.0004, ""bar_seconds"": 300.0}"
